index,D_0__Bacteria,Name,Collection,State,TimePoint
ERR2654447,9231.0,B06D,September,control,2 months recovery
ERR2654503,7899.0,D05C,September,drought,A week recovery
ERR2654601,7502.0,G08C,September,drought,A week recovery
ERR2654582,5235.0,G02D,September,control,2 months recovery
ERR2654609,3559.0,H02C,September,control,A week recovery
ERR2654461,3161.0,C02B,September,drought,At the end of the drought
ERR2654476,4207.0,C06B,September,control,At the end of the drought
ERR2654546,12075.0,F01A,September,control,Before drought
ERR2654577,6441.0,G01B,September,control,At the end of the drought
ERR2654397,11794.0,A01D,September,control,2 months recovery
ERR2654614,8427.0,H03D,September,drought,2 months recovery
ERR2654605,10282.0,H01A,September,control,Before drought
ERR2654599,9079.0,G08A,September,drought,Before drought
ERR2654465,7266.0,C03B,September,control,At the end of the drought
ERR2654502,5514.0,D05B,September,drought,At the end of the drought
ERR2654522,2786.0,E02B,September,drought,At the end of the drought
ERR2654470,9743.0,C04D,September,control,2 months recovery
ERR2654484,6394.0,C09C,September,control,A week recovery
ERR2654479,8196.0,C07A,September,control,Before drought
ERR2654570,9892.0,F08A,September,drought,Before drought
ERR2654506,12968.0,D06B,September,control,At the end of the drought
ERR2654442,5598.0,B05C,September,drought,A week recovery
ERR2654602,6087.0,G09C,September,control,A week recovery
ERR2654443,10931.0,B05D,September,control,2 months recovery
ERR2654408,9854.0,A04D,September,control,2 months recovery
ERR2654436,8119.0,B03D,September,drought,2 months recovery
ERR2654623,8241.0,H06C,September,control,2 months recovery
ERR2654533,10788.0,E05D,September,control,2 months recovery
ERR2654618,3913.0,H05B,September,drought,At the end of the drought
ERR2654445,4563.0,B06B,September,control,At the end of the drought
ERR2654531,4034.0,E05B,September,drought,At the end of the drought
ERR2654631,5626.0,H10C,September,control,A week recovery
ERR2654406,1480.0,A04B,September,drought,At the end of the drought
ERR2654548,6140.0,F01C,September,control,A week recovery
ERR2654604,7413.0,G11C,September,drought,A week recovery
ERR2654451,9412.0,B08B,September,control,At the end of the drought
ERR2654450,14518.0,B08A,September,control,Before drought
ERR2654469,4550.0,C04C,September,drought,A week recovery
ERR2654477,13314.0,C06C,September,drought,2 months recovery
ERR2654400,6178.0,A02C,September,control,A week recovery
ERR2654433,2300.0,B03A,September,control,Before drought
ERR2654452,5652.0,B08C,September,control,A week recovery
ERR2654462,3205.0,C02C,September,drought,A week recovery
ERR2654621,7529.0,H06A,September,drought,Before drought
ERR2654616,6549.0,H04D,September,drought,2 months recovery
ERR2654511,8012.0,D08A,September,drought,Before drought
ERR2654474,7136.0,C05D,September,control,2 months recovery
ERR2654556,6030.0,F03C,September,control,A week recovery
ERR2654572,13326.0,F08C,September,drought,A week recovery
ERR2654626,8751.0,H07B,September,control,At the end of the drought
ERR2654487,12917.0,D01A,September,drought,Before drought
ERR2654564,6997.0,F06A,September,drought,Before drought
ERR2654569,10329.0,F07B,September,control,At the end of the drought
ERR2654547,6268.0,F01B,September,control,At the end of the drought
ERR2654480,7152.0,C07B,September,control,At the end of the drought
ERR2654434,4996.0,B03B,September,control,At the end of the drought
ERR2654561,7361.0,F05B,September,drought,At the end of the drought
ERR2654466,6928.0,C03C,September,control,A week recovery
ERR2654463,7132.0,C02D,September,drought,2 months recovery
ERR2654597,1513.0,G07A,September,control,Before drought
ERR2654571,5429.0,F08B,September,drought,At the end of the drought
ERR2654632,7920.0,H11C,September,drought,A week recovery
ERR2654612,3217.0,H03B,September,drought,At the end of the drought
ERR2654585,5023.0,G03C,September,control,A week recovery
ERR2654530,8769.0,E05A,September,drought,Before drought
ERR2654535,2994.0,E06B,September,drought,At the end of the drought
ERR2654494,8148.0,D02D,September,control,2 months recovery
ERR2654520,13523.0,E01D,September,control,2 months recovery
ERR2654613,4737.0,H03C,September,drought,A week recovery
ERR2654496,4046.0,D03B,September,control,At the end of the drought
ERR2654439,12146.0,B04D,September,control,2 months recovery
ERR2654568,9455.0,F07A,September,control,Before drought
ERR2654588,8763.0,G04D,September,drought,2 months recovery
ERR2654457,7379.0,C01B,September,drought,At the end of the drought
ERR2654423,10940.0,A10C,September,control,A week recovery
ERR2654483,7001.0,C08C,September,control,A week recovery
ERR2654521,1172.0,E02A,September,drought,Before drought
ERR2654607,9889.0,H01D,September,drought,2 months recovery
ERR2654430,2117.0,B02B,September,drought,At the end of the drought
ERR2654538,10769.0,E07A,September,control,Before drought
ERR2654611,3735.0,H03A,September,drought,Before drought
ERR2654414,7933.0,A06B,September,control,At the end of the drought
ERR2654560,11149.0,F05A,September,drought,Before drought
ERR2654625,7900.0,H07A,September,control,Before drought
ERR2654615,7727.0,H04C,September,drought,A week recovery
ERR2654417,13387.0,A07A,September,drought,Before drought
ERR2654603,5546.0,G10C,September,drought,A week recovery
ERR2654437,1060.0,B04B,September,drought,At the end of the drought
ERR2654527,9519.0,E03D,September,drought,2 months recovery
ERR2654543,11547.0,E09C,September,control,A week recovery
ERR2654396,6538.0,A01C,September,drought,A week recovery
ERR2654505,1840.0,D06A,September,control,Before drought
ERR2654449,9055.0,B07B,September,control,At the end of the drought
ERR2654580,1268.0,G02B,September,control,At the end of the drought
ERR2654554,7135.0,F03A,September,control,Before drought
ERR2654608,1327.0,H02A,September,control,Before drought
ERR2654519,5502.0,E01C,September,control,A week recovery
ERR2654627,6290.0,H08A,September,control,Before drought
ERR2654497,6297.0,D03C,September,control,A week recovery
ERR2654589,1651.0,G05A,September,drought,Before drought
ERR2654418,9146.0,A07B,September,drought,At the end of the drought
ERR2654549,14051.0,F01D,September,control,2 months recovery
ERR2654395,8468.0,A01B,September,drought,At the end of the drought
ERR2654431,5547.0,B02C,September,drought,A week recovery
ERR2654456,14798.0,C01A,September,drought,Before drought
ERR2654541,9950.0,E08B,September,drought,At the end of the drought
ERR2654523,4190.0,E02C,September,drought,A week recovery
ERR2654446,5405.0,B06C,September,drought,2 months recovery
ERR2654532,5143.0,E05C,September,drought,A week recovery
ERR2654630,5802.0,H09C,September,control,A week recovery
ERR2654501,3578.0,D05A,September,drought,Before drought
ERR2654545,6942.0,E11C,September,drought,A week recovery
ERR2654428,12774.0,B01D,September,control,2 months recovery
ERR2654412,7880.0,A05D,September,drought,2 months recovery
ERR2654598,11570.0,G07B,September,control,At the end of the drought
ERR2654425,16823.0,B01A,September,drought,Before drought
ERR2654619,9963.0,H05C,September,drought,A week recovery
ERR2654448,14798.0,B07A,September,control,Before drought
ERR2654499,9037.0,D04C,September,control,A week recovery
ERR2654486,7216.0,C11C,September,control,A week recovery
ERR2654493,5089.0,D02C,September,drought,A week recovery
ERR2654573,7117.0,F09C,September,control,A week recovery
ERR2654617,12472.0,H05A,September,drought,Before drought
ERR2654515,6566.0,D10C,September,drought,A week recovery
ERR2654539,9885.0,E07B,September,control,At the end of the drought
ERR2654581,3365.0,G02C,September,control,A week recovery
ERR2654544,5526.0,E10C,September,drought,A week recovery
ERR2654438,6212.0,B04C,September,drought,A week recovery
ERR2654504,9299.0,D05D,September,control,2 months recovery
ERR2654575,12454.0,F11C,September,drought,A week recovery
ERR2654444,8784.0,B06A,September,control,Before drought
ERR2654517,12446.0,E01A,September,control,Before drought
ERR2654565,11496.0,F06B,September,drought,At the end of the drought
ERR2654566,6380.0,F06C,September,control,2 months recovery
ERR2654491,3461.0,D02A,September,drought,Before drought
ERR2654394,14145.0,A01A,September,drought,Before drought
ERR2654587,5363.0,G04C,September,control,A week recovery
ERR2654624,12309.0,H06D,September,control,2 months recovery
ERR2654584,3563.0,G03B,September,control,At the end of the drought
ERR2654525,10857.0,E03A,September,control,Before drought
ERR2654401,5445.0,A02D,September,drought,2 months recovery
ERR2654440,8539.0,B05A,September,drought,Before drought
ERR2654492,2084.0,D02B,September,drought,At the end of the drought
ERR2654475,10135.0,C06A,September,control,Before drought
ERR2654514,12509.0,D09C,September,control,A week recovery
ERR2654590,10060.0,G05B,September,drought,At the end of the drought
ERR2654471,6678.0,C05A,September,drought,Before drought
ERR2654592,12205.0,G05D,September,control,2 months recovery
ERR2654488,9814.0,D01B,September,drought,At the end of the drought
ERR2654537,12262.0,E06D,September,drought,2 months recovery
ERR2654622,7824.0,H06B,September,drought,At the end of the drought
ERR2654478,8092.0,C06D,September,control,2 months recovery
ERR2654574,6492.0,F10C,September,drought,A week recovery
ERR2654596,13239.0,G06D,September,drought,2 months recovery
ERR2654495,9348.0,D03A,September,control,Before drought
ERR2654507,14302.0,D06C,September,drought,2 months recovery
ERR2654557,11564.0,F03D,September,drought,2 months recovery
ERR2654405,8190.0,A03D,September,drought,2 months recovery
ERR2654540,11540.0,E08A,September,drought,Before drought
ERR2654583,3327.0,G03A,September,control,Before drought
ERR2654528,10527.0,E04C,September,control,A week recovery
ERR2654472,5970.0,C05B,September,drought,At the end of the drought
ERR2654489,6773.0,D01C,September,drought,A week recovery
ERR2654629,6006.0,H08C,September,drought,A week recovery
ERR2654422,9834.0,A09C,September,drought,A week recovery
ERR2654600,4014.0,G08B,September,drought,At the end of the drought
ERR2654432,5786.0,B02D,September,drought,2 months recovery
ERR2654455,6486.0,B11C,September,control,A week recovery
ERR2654399,2948.0,A02B,September,control,At the end of the drought
ERR2654485,6677.0,C10C,September,control,A week recovery
ERR2654481,10420.0,C08A,September,control,Before drought
ERR2654542,5863.0,E08C,September,drought,A week recovery
ERR2654402,11360.0,A03A,September,control,Before drought
ERR2654453,6511.0,B09C,September,control,A week recovery
ERR2654576,11763.0,G01A,September,control,Before drought
ERR2654534,11273.0,E06A,September,drought,Before drought
ERR2654524,10254.0,E02D,September,control,2 months recovery
ERR2654398,4161.0,A02A,September,control,Before drought
ERR2654508,11255.0,D06D,September,drought,2 months recovery
